I,type,rmse_spike,total_spikes,firing_rate,sparsity
-3.831831831831832,posit24,0.0,0,0.0,1.0
-3.831831831831832,posit32,0.0,0,0.0,1.0
-3.823823823823824,float64,0.0,0,0.0,1.0
-3.823823823823824,float32,0.0,0,0.0,1.0
-3.823823823823824,float16,0.0,0,0.0,1.0
-3.823823823823824,posit16,0.0,0,0.0,1.0
-3.823823823823824,posit20,0.0,0,0.0,1.0
-3.823823823823824,posit24,0.0,0,0.0,1.0
-3.823823823823824,posit32,0.0,0,0.0,1.0
-3.815815815815816,float64,0.0,0,0.0,1.0
-3.815815815815816,float32,0.0,0,0.0,1.0
-3.815815815815816,float16,0.0,0,0.0,1.0
-3.815815815815816,posit16,0.0,0,0.0,1.0
-3.815815815815816,posit20,0.0,0,0.0,1.0
-3.815815815815816,posit24,0.0,0,0.0,1.0
-3.815815815815816,posit32,0.0,0,0.0,1.0
-3.8078078078078077,float64,0.0,0,0.0,1.0
-3.8078078078078077,float32,0.0,0,0.0,1.0
-3.8078078078078077,float16,0.0,0,0.0,1.0
-3.8078078078078077,posit16,0.0,0,0.0,1.0
-3.8078078078078077,posit20,0.0,0,0.0,1.0
-3.8078078078078077,posit24,0.0,0,0.0,1.0
