Tiempo (ms),Voltaje (mV)
337.5,-53.87767800056935
337.6,-53.716453780575065
337.7,-53.553617318380844
337.79999999999995,-53.38915249156469
337.90000000000003,-53.22304301648036
338.0,-53.05527244664519
338.1,-52.88582417111167
338.2,-52.71468141282281
338.29999999999995,-52.54182722695107
338.40000000000003,-52.36724449922062
338.5,-52.19091594421285
338.6,-52.01282410365501
338.7,-51.83295134469158
338.8,-51.65127985813852
338.90000000000003,-51.46779165671994
339.0,-51.28246857328716
339.1,-51.09529225902006
339.2,-50.90624418161029
339.3,-50.715305623426424
339.40000000000003,-50.52245767966072
339.5,-50.32768125645735
339.6,-50.13095706902196
339.7,-60.0
339.8,-59.89999900000002
339.90000000000003,-59.79899799000005
340.0,-59.69698696990008
340.1,-59.59395583959912
340.2,-59.48989439799514
340.3,-59.38479234197512
340.40000000000003,-59.2786392653949
340.5,-59.17142465804888
340.6,-59.06313790462939
340.7,-58.953768283675714
340.8,-58.8433049665125
340.90000000000003,-58.731737016177654
341.0,-58.61905338633946
341.1,-58.505242920202875
341.2,-58.39029434940494
341.3,-58.27419629289901
341.40000000000003,-58.15693725582803
341.5,-58.038505628386346
341.6,-57.91888968467024
341.7,-57.79807758151697
341.8,-57.67605735733216
341.90000000000003,-57.552816930905514
342.0,-57.4283441002146
342.1,-57.302626541216775
342.2,-57.17565180662897
342.3,-57.04740732469529
342.40000000000003,-56.91788039794227
342.5,-56.787058201921724
342.6,-56.65492778394097
342.7,-56.521476061780405
342.8,-56.38668982239824
342.90000000000003,-56.25055572062226
343.0,-56.11306027782851
343.1,-55.97418988060682
343.2,-55.83393077941292
343.3,-55.69226908720707
343.40000000000003,-55.54919077807917
343.5,-55.40468168586
343.6,-55.25872750271862
343.7,-55.11131377774584
343.8,-54.962425915523326
343.90000000000003,-54.812049174678585
344.0,-54.6601686664254
344.1,-54.50676935308969
344.2,-54.35183604662061
344.3,-54.19535340708684
344.40000000000003,-54.03730594115774
344.5,-53.87767800056935
344.6,-53.716453780575065
344.7,-53.553617318380844
344.8,-53.38915249156469
344.90000000000003,-53.22304301648036
345.0,-53.05527244664519
345.1,-52.88582417111167
345.2,-52.71468141282281
345.3,-52.54182722695107
345.40000000000003,-52.36724449922062
345.5,-52.19091594421285
345.6,-52.01282410365501
345.7,-51.83295134469158
345.8,-51.65127985813852
345.90000000000003,-51.46779165671994
346.0,-51.28246857328716
346.1,-51.09529225902006
346.2,-50.90624418161029
346.3,-50.715305623426424
346.40000000000003,-50.52245767966072
346.5,-50.32768125645735
346.6,-50.13095706902196
346.7,-60.0
346.8,-59.89999900000002
346.90000000000003,-59.79899799000005
347.0,-59.69698696990008
347.1,-59.59395583959912
347.2,-59.48989439799514
347.3,-59.38479234197512
347.40000000000003,-59.2786392653949
347.5,-59.17142465804888
347.6,-59.06313790462939
347.7,-58.953768283675714
347.8,-58.8433049665125
347.90000000000003,-58.731737016177654
348.0,-58.61905338633946
348.1,-58.505242920202875
348.2,-58.39029434940494
348.3,-58.27419629289901
348.40000000000003,-58.15693725582803
348.5,-58.038505628386346
348.6,-57.91888968467024
348.7,-57.79807758151697
348.8,-57.67605735733216
348.90000000000003,-57.552816930905514
349.0,-57.4283441002146
349.1,-57.302626541216775
349.2,-57.17565180662897
349.3,-57.04740732469529
349.40000000000003,-56.91788039794227
349.5,-56.787058201921724
349.6,-56.65492778394097
349.7,-56.521476061780405
349.8,-56.38668982239824
349.90000000000003,-56.25055572062226
350.0,-56.11306027782851
350.1,-55.97418988060682
350.2,-55.83393077941292
350.3,-55.69226908720707
350.4,-55.54919077807917
350.5,-55.40468168586
350.6,-55.25872750271862
350.7,-55.11131377774584
350.8,-54.962425915523326
350.9,-54.812049174678585
351.0,-54.6601686664254
351.1,-54.50676935308969
351.2,-54.35183604662061
351.3,-54.19535340708684
351.4,-54.03730594115774
351.5,-53.87767800056935
351.6,-53.716453780575065
351.7,-53.553617318380844
351.8,-53.38915249156469
351.9,-53.22304301648036
352.0,-53.05527244664519
352.1,-52.88582417111167
352.2,-52.71468141282281
352.3,-52.54182722695107
352.4,-52.36724449922062
352.5,-52.19091594421285
352.6,-52.01282410365501
352.7,-51.83295134469158
352.8,-51.65127985813852
352.9,-51.46779165671994
353.00000000000006,-51.28246857328716
353.1,-51.09529225902006
353.2,-50.90624418161029
353.3,-50.715305623426424
353.4,-50.52245767966072
353.50000000000006,-50.32768125645735
353.6,-50.13095706902196
353.7,-60.0
353.8,-59.89999900000002
353.9,-59.79899799000005
354.00000000000006,-59.69698696990008
354.1,-59.59395583959912
354.2,-59.48989439799514
354.3,-59.38479234197512
354.4,-59.2786392653949
354.50000000000006,-59.17142465804888
354.6,-59.06313790462939
354.7,-58.953768283675714
354.8,-58.8433049665125
354.9,-58.731737016177654
355.00000000000006,-58.61905338633946
355.1,-58.505242920202875
355.2,-58.39029434940494
355.3,-58.27419629289901
355.4,-58.15693725582803
355.50000000000006,-58.038505628386346
355.6,-57.91888968467024
355.7,-57.79807758151697
355.8,-57.67605735733216
355.9,-57.552816930905514
356.00000000000006,-57.4283441002146
356.1,-57.302626541216775
356.2,-57.17565180662897
356.3,-57.04740732469529
356.4,-56.91788039794227
356.50000000000006,-56.787058201921724
356.6,-56.65492778394097
356.7,-56.521476061780405
356.8,-56.38668982239824
356.9,-56.25055572062226
357.00000000000006,-56.11306027782851
357.1,-55.97418988060682
357.2,-55.83393077941292
357.3,-55.69226908720707
357.4,-55.54919077807917
357.50000000000006,-55.40468168586
357.6,-55.25872750271862
357.7,-55.11131377774584
357.8,-54.962425915523326
357.9,-54.812049174678585
358.00000000000006,-54.6601686664254
358.1,-54.50676935308969
358.2,-54.35183604662061
358.3,-54.19535340708684
358.4,-54.03730594115774
358.50000000000006,-53.87767800056935
358.6,-53.716453780575065
358.7,-53.553617318380844
358.8,-53.38915249156469
358.9,-53.22304301648036
359.00000000000006,-53.05527244664519
359.1,-52.88582417111167
359.2,-52.71468141282281
359.3,-52.54182722695107
359.4,-52.36724449922062
359.50000000000006,-52.19091594421285
359.6,-52.01282410365501
359.7,-51.83295134469158
359.8,-51.65127985813852
359.9,-51.46779165671994
360.00000000000006,-51.28246857328716
360.1,-51.09529225902006
360.2,-50.90624418161029
360.3,-50.715305623426424
360.4,-50.52245767966072
360.50000000000006,-50.32768125645735
